Type,Element,Meaning,Example Word,Example Meaning,Quiz Prompt,Rarity (1-10)
PREFIX,baro-,pressure / weight,barometer,instrument measuring air pressure,What does 'baro-' tell you about 'barotitis'?,6
PREFIX,batho-,depth,bathometry,measurement of ocean depth,How does 'batho-' relate to 'bathy-' in scientific terms?,8
PREFIX,bathy-,deep,bathyscaphe,deep-sea research vessel,How does 'bathy-' describe the function of a 'bathysphere'?,7
PREFIX,biblio-,book,bibliography,a list of books and sources,What does 'biblio-' reveal about the word 'bibliophile'?,5
PREFIX,bio-,life,biology,the study of living things,How does 'bio-' connect 'biography' and 'biosphere'?,2
PREFIX,cardi-,heart,cardiology,study of the heart,How does 'cardi-' function in 'cardiovascular'?,4
PREFIX,centro-,center,centromere,center region of a chromosome,How does 'centro-' specify location in biological terms?,7
PREFIX,chrono-,time,chronology,arrangement of events by time,How does 'chrono-' relate to 'chron' as a root?,4
PREFIX,cine-,movement / film,cinematography,the art of filming motion pictures,How does 'cine-' connect motion to the word 'cinema'?,5
PREFIX,clim-,slope / region / climate,climatology,the study of climate,How does 'clim-' relate to concepts of geography and weather?,6
PREFIX,com-,together / with (before b/m/p),combine,to bring together,How does 'com-' shift meaning compared to 'con-' in 'compare' vs 'connect'?,3
PREFIX,cosmo-,universe / world,cosmopolitan,belonging to all of the world,How does 'cosmo-' in 'cosmology' differ from 'geo-' in scope?,5
PREFIX,counter-,against / opposing,counteract,to act against something,How does 'counter-' differ from 'anti-' in usage?,3
PREFIX,demo-,people,democracy,government by the people,How does 'demo-' connect 'demographics' and 'epidemic'?,4
PREFIX,derma-,skin,dermatology,study of the skin,How does 'derma-' relate to '-derm' as a suffix?,4
PREFIX,down-,lower / reducing,downgrade,to reduce in rank or quality,How does 'down-' function differently in 'download' versus 'downfall'?,3
PREFIX,eco-,environment / house,ecosystem,a community of interacting organisms,How does 'eco-' root in 'house' relate to 'economy' and 'ecology'?,3
PREFIX,electro-,electricity / electron,electrolysis,chemical decomposition by electric current,How does 'electro-' describe the mechanism in 'electrocardiogram'?,4
PREFIX,embryo-,embryo / developing,embryology,study of embryos,How does 'embryo-' describe the stage of 'embryogenesis'?,6
PREFIX,entomo-,insect,entomology,the study of insects,What does 'entomo-' tell you about an 'entomophagous' organism?,7
PREFIX,etho-,custom / character / behavior,ethology,study of animal behavior,How does 'etho-' in 'ethology' differ from 'ethos' as a concept?,7
PREFIX,ethno-,race / people / culture,ethnography,descriptive study of a culture,How does 'ethno-' shape the meaning of 'ethnocentrism'?,5
PREFIX,eury-,wide / broad,eurythermal,tolerating a wide range of temperatures,How does 'eury-' contrast with 'steno-' in biological tolerance?,8
PREFIX,ferri- / ferro-,iron,ferromagnetic,strongly attracted to magnets like iron,How does 'ferro-' in 'ferroelectric' relate to iron's properties?,6
PREFIX,feto-,fetus,fetology,branch of medicine studying the fetus,How does 'feto-' specify a stage of development?,7
PREFIX,fibro-,fiber / fibrous tissue,fibromyalgia,pain in fibrous tissues and muscles,How does 'fibro-' describe the tissue involved in 'fibrosis'?,6
PREFIX,franco-,French,francophone,French-speaking person or region,How does 'franco-' function in 'Franco-German relations'?,6
PREFIX,galacto-,milk,galactose,a sugar found in milk,How does 'galacto-' connect milk to 'galaxy' etymologically?,7
PREFIX,gamo-,marriage / union,gamogenesis,reproduction by union of gametes,How does 'gamo-' relate to '-gamy' as a suffix?,7
PREFIX,geo-,earth,geology,the study of Earth's structure,How does 'geo-' function in 'geography' versus 'geometry'?,2
PREFIX,gero- / geronto-,old age,gerontology,the study of aging,How does 'gero-' describe the focus of 'gerontocracy'?,6
PREFIX,gluco-,glucose / sugar,glucocorticoid,steroid that regulates glucose metabolism,How does 'gluco-' differ from 'glyco-' in usage?,6
PREFIX,glyco-,sugar / sweet,glycoprotein,a protein with attached sugar chains,How does 'glyco-' relate to 'glucose' and 'glycogen'?,5
PREFIX,gymno-,naked / bare,gymnosperm,plant with seeds not enclosed in fruit,How does 'gymno-' describe the seed structure of conifers?,7
PREFIX,gyneco-,woman / female,gynecology,medical study of the female reproductive system,How does 'gyneco-' contrast with 'andro-' in meaning?,5
PREFIX,haemo- / hemo-,blood,haemoglobin,oxygen-carrying protein in blood,How does 'haemo-' relate to '-emia' as a suffix?,4
PREFIX,halo-,salt / sea,halophyte,plant that thrives in salty conditions,How does 'halo-' describe the habitat in 'halotolerant'?,6
PREFIX,hecto-,hundred,hectare,unit of area equal to 100 ares,How does 'hecto-' compare to 'centi-' in the metric system?,5
PREFIX,herpeto-,reptile / creeping,herpetology,study of reptiles and amphibians,What does 'herpeto-' reveal about the original meaning of the word 'herpes'?,7
PREFIX,hetero-,different / other,heterogeneous,made of different kinds,How does 'hetero-' contrast with 'homo-' in 'heterosexual'?,4
PREFIX,holo-,whole / complete,hologram,complete three-dimensional image,How does 'holo-' in 'holocaust' reflect the original Greek meaning?,5
PREFIX,ichthyo-,fish,ichthyology,the study of fish,What does 'ichthyo-' tell you about an 'ichthyosaur'?,7
PREFIX,ideo-,idea / image,ideology,a system of ideas and ideals,How does 'ideo-' in 'ideogram' reflect thought-representation?,6
PREFIX,immuno-,immune / protection,immunology,study of the immune system,How does 'immuno-' describe the mechanism of 'immunotherapy'?,5
PREFIX,kilo-,thousand,kilometer,one thousand meters,How does 'kilo-' function in the metric system relative to 'mega-'?,3
PREFIX,kinesi-,movement,kinesiology,study of body movement,How does 'kinesi-' relate to 'kine-' and '-kinesis'?,6
PREFIX,laparo-,abdomen / flank,laparoscopy,examination inside the abdomen,How does 'laparo-' specify the region in 'laparotomy'?,7
PREFIX,laryngo-,larynx / throat,laryngoscopy,visual examination of the larynx,How does 'laryngo-' locate the site of 'laryngitis'?,7
PREFIX,lepto-,thin / slender,leptocephalic,having a narrow head,How does 'lepto-' contrast with 'brachy-' in describing shape?,8
PREFIX,lexico-,word / vocabulary,lexicography,the practice of compiling dictionaries,How does 'lexico-' describe the focus of 'lexicology'?,6
PREFIX,limno-,lake / freshwater,limnology,the study of freshwater bodies,How does 'limno-' differ from 'hydro-' in focus?,7
PREFIX,logo-,word / reason / study,logomania,obsessive interest in words,How does 'logo-' relate to '-logy' as a combining form?,5
PREFIX,lute-,yellow,luteotrophic,stimulating the corpus luteum,How does 'lute-' describe the color of the corpus luteum?,8
PREFIX,magneto-,magnet / magnetic,magnetosphere,region of Earth dominated by its magnetic field,How does 'magneto-' describe the cause of 'magnetism'?,6
PREFIX,mammo-,breast,mammography,X-ray imaging of the breast,How does 'mammo-' in 'mammary' link to the word 'mammal'?,6
PREFIX,masto-,breast / nipple,mastectomy,surgical removal of a breast,How does 'masto-' relate to 'mammo-' in medical terminology?,6
PREFIX,mega- / megalo-,great / large,megalopolis,a very large city or urban complex,How does 'megalo-' in 'megalomania' describe the scale of delusion?,5
PREFIX,melano-,black / dark,melanoma,cancer arising from melanin-producing cells,How does 'melano-' describe the pigment 'melanin'?,5
PREFIX,milli-,thousandth / thousand,millimeter,one thousandth of a meter,How does 'milli-' contrast with 'kilo-' in the metric system?,3
PREFIX,morpho-,form / shape,morphology,study of the form and structure of organisms,How does 'morpho-' describe the focus of 'morphogenesis'?,5
PREFIX,myo-,muscle,myocardium,the heart muscle,How does 'myo-' describe the tissue involved in 'myopathy'?,5
PREFIX,nano-,billionth / extremely small,nanotechnology,technology on an atomic scale,How does 'nano-' in 'nanometer' describe scale?,4
PREFIX,naturo-,nature / natural,naturopathy,treatment based on natural remedies,How does 'naturo-' reflect the philosophy of 'naturopathic' medicine?,6
PREFIX,nitro-,nitrogen / nitric acid,nitroglycerine,a powerful explosive compound,How does 'nitro-' describe the chemical composition in 'nitrogen'?,6
PREFIX,nomo-,law / custom,nomology,the science of law or physical laws,How does 'nomo-' relate to '-nomy' as a suffix?,7
PREFIX,normo-,normal / standard,normotensive,having normal blood pressure,How does 'normo-' contrast with 'hyper-' and 'hypo-' in medical terms?,6
PREFIX,nucleo-,nucleus,nucleotide,a building block of DNA and RNA,How does 'nucleo-' describe the component in 'nucleoplasm'?,5
PREFIX,octo- / octa-,eight,octopus,eight-limbed sea creature,How does 'octo-' function in both 'octagon' and 'October'?,4
PREFIX,ophthalmо-,eye,ophthalmology,study of the eye and its diseases,How does 'ophthalmo-' relate to 'ocul-' in meaning?,6
PREFIX,oro-,mouth,oropharynx,the middle part of the throat behind the mouth,How does 'oro-' specify location in 'orotracheal'?,7
PREFIX,osmo-,push / smell / osmosis,osmosis,movement of solvent through a membrane,How does 'osmo-' describe the process in 'osmoregulation'?,6
PREFIX,oto-,ear,otoscope,instrument used to examine the ear,How does 'oto-' locate the condition in 'otitis'?,6
PREFIX,ovi-,egg,oviparous,producing young by means of eggs,How does 'ovi-' relate to 'ov-' and 'oocyte' in reproductive biology?,6
PREFIX,paedo- / pedo-,child,pediatrics,medical care of children,How does 'paedo-' in 'pedagogy' relate to the teaching of children?,5
PREFIX,palaeo- / paleo-,old / ancient,paleontology,study of ancient life through fossils,How does 'palaeo-' in 'paleoanthropology' specify the time period?,5
PREFIX,pedago-,leading a child / teaching,pedagogy,the practice and theory of teaching,How does 'pedago-' reflect the etymology of 'teaching'?,6
PREFIX,peno-,punishment,penology,study of punishment and prison systems,How does 'peno-' relate to 'penal' in meaning?,7
PREFIX,petro-,rock / stone / petroleum,petrology,the study of rocks,How does 'petro-' in 'petroleum' and 'petrify' reflect its meaning?,5
PREFIX,pharma-,drug / medicine,pharmacology,study of drugs and their effects,How does 'pharma-' in 'pharmacy' relate to 'pharmaceutical'?,4
PREFIX,philo-,loving / fond of,philosophy,love of wisdom,How does 'philo-' in 'philanthropist' describe motivation?,4
PREFIX,phono-,sound / voice,phonology,study of speech sounds,How does 'phono-' in 'phonograph' relate to 'phone' as a root?,4
PREFIX,photo-,light,photograph,an image captured by light,How does 'photo-' in 'photosynthesis' describe the energy source?,2
PREFIX,physio-,nature / body / physical,physiology,study of the body's functions,How does 'physio-' in 'physiotherapy' reflect its meaning?,4
PREFIX,pneumato-,breath / spirit / air,pneumatology,study of spiritual beings,How does 'pneumato-' relate to 'pneumo-' in usage?,7
PREFIX,poli-,city,politics,the affairs of a city or state,How does 'poli-' in 'metropolis' and 'cosmopolitan' reflect city life?,4
PREFIX,porno-,prostitute / writing about,pornography,explicit sexual material,How does understanding 'porno-' etymologically explain the '-graphy' component?,8
PREFIX,porto-,door / gate,portal,a doorway or entrance,How does 'porto-' relate to the root 'port' in 'portal' and 'portcullis'?,7
PREFIX,proprio-,one's own,proprioception,sense of one's own body position,How does 'proprio-' describe what 'proprioceptors' detect?,7
PREFIX,psycho-,mind / soul,psychology,the study of the mind and behavior,How does 'psycho-' in 'psychosomatic' link mind to body?,3
PREFIX,ptero-,wing,pterodactyl,winged reptile of the Mesozoic era,How does 'ptero-' describe the defining feature of 'pterosaurs'?,7
PREFIX,recto-,rectum / straight,rectocele,protrusion of the rectum into the vagina,How does 'recto-' specify the organ in 'rectoscopy'?,7
PREFIX,rhino-,nose,rhinoplasty,surgical reshaping of the nose,How does 'rhino-' describe the animal 'rhinoceros'?,5
PREFIX,rhizo-,root,rhizome,a horizontal underground plant stem,How does 'rhizo-' describe the structure of a 'rhizoid'?,7
PREFIX,scleро-,hard / hardening,sclerosis,abnormal hardening of body tissue,How does 'sclero-' describe what happens in 'arteriosclerosis'?,6
PREFIX,seismo-,earthquake / tremor,seismology,the study of earthquakes,How does 'seismo-' describe the phenomenon studied in 'seismography'?,6
PREFIX,silico-,silicon,silicosis,lung disease from inhaling silica dust,How does 'silico-' describe the causative agent in 'silicone'?,6
PREFIX,sino-,Chinese / sinus,Sino-Japanese,relating to China and Japan,How does 'sino-' function in geopolitical terms like 'Sino-American'?,6
PREFIX,socio-,society / social,sociology,the study of human society,How does 'socio-' in 'socioeconomic' combine social and economic factors?,4
PREFIX,sono-,sound,sonar,sound navigation and ranging,How does 'sono-' in 'sonogram' describe the imaging method?,5
PREFIX,spectro-,spectrum / appearance,spectroscopy,analysis of light spectra,How does 'spectro-' describe the tool used in 'spectrometry'?,6
PREFIX,spiro-,breath / coil,spirometry,measurement of lung capacity,How does 'spiro-' describe both breathing and the spiral shape of 'spirochetes'?,6
PREFIX,sym- / syn-,together / with,synchronize,to make happen at the same time,How does 'syn-' in 'synthesis' describe the combining process?,4
PREFIX,termino-,boundary / term / end,terminology,the body of terms used in a subject,How does 'termino-' relate to 'term-' as a root?,7
PREFIX,tetra-,four,tetrahedron,a four-faced three-dimensional shape,How does 'tetra-' in 'tetrapod' describe the defining feature of land vertebrates?,5
PREFIX,thermo-,heat / temperature,thermometer,instrument for measuring temperature,How does 'thermo-' in 'thermodynamics' describe energy transfer?,3
PREFIX,tri-,three,triangle,a three-sided figure,How does 'tri-' in 'triceratops' describe the dinosaur's defining feature?,2
PREFIX,turbo-,spinning / whirl,turbine,a machine turned by moving fluid,How does 'turbo-' in 'turbulence' describe motion?,5
PREFIX,zoo-,animal,zoology,the study of animals,How does 'zoo-' in 'zoonosis' describe the source of the disease?,3
PREFIX,zymo-,fermentation / enzyme,zymology,the study of fermentation,How does 'zymo-' relate to '-zyme' as a suffix?,7
SUFFIX,-ac,pertaining to (adjective),cardiac,pertaining to the heart,How does '-ac' in 'cardiac' function the same as '-al' in other adjectives?,5
SUFFIX,-acea / -aceae,belonging to a group (taxonomy),Rosaceae,the plant family containing roses,How does '-aceae' identify a plant family in botanical classification?,7
SUFFIX,-acious,inclined to / full of,tenacious,holding firmly; persistent,How does '-acious' in 'audacious' express inclination?,5
SUFFIX,-acity,quality of being -acious,tenacity,the quality of being persistent,How does '-acity' convert an adjective like 'tenacious' into a noun?,5
SUFFIX,-ad,toward / in the direction of,cephalad,toward the head,How does '-ad' in 'caudad' specify anatomical direction?,7
SUFFIX,-aholic / -oholic,compulsive desire for,workaholic,a person addicted to work,How did '-aholic' emerge from 'alcoholic' and what does it add to words?,5
SUFFIX,-aire,a person having a quality/thing,millionaire,a person with at least a million dollars,How does '-aire' in 'questionnaire' differ from its use in 'billionaire'?,5
SUFFIX,-an / -ian,of / relating to / one who,librarian,one who works in a library,How does '-an' in 'American' and '-ian' in 'vegetarian' denote membership?,2
SUFFIX,-ance / -ancy,state / quality / action,brilliance,the quality of being brilliant,How does '-ance' in 'acceptance' denote a state versus '-ancy' in 'buoyancy'?,3
SUFFIX,-androus,having male parts / male,polyandrous,having multiple male partners or stamens,How does '-androus' contrast with '-gynous' in botanical terms?,8
SUFFIX,-ane,hydrocarbon / chemical compound,methane,a simple one-carbon hydrocarbon gas,How does '-ane' in 'propane' indicate chemical structure?,5
SUFFIX,-ant / -ent (noun),one who / that which,servant,one who serves,How does '-ant' in 'lubricant' describe function versus '-ant' in 'consultant'?,3
SUFFIX,-ar,of / relating to,muscular,relating to or having muscles,How does '-ar' in 'vascular' function similarly to '-al'?,4
SUFFIX,-ard / -art,one who does something to excess,drunkard,one who drinks excessively,How does '-ard' in 'braggart' convey negative excess?,5
SUFFIX,-arian,believer in / person of,humanitarian,a person devoted to human welfare,How does '-arian' in 'sectarian' indicate group affiliation?,5
SUFFIX,-arium / -orium,place for / container,aquarium,a place for keeping water animals,How does '-arium' in 'planetarium' describe the purpose of the space?,5
SUFFIX,-ate (verb),to make / cause,activate,to make active,How does '-ate' in 'liberate' describe the action it creates?,3
SUFFIX,-ation,act / process / state,creation,the act of bringing something into existence,How does '-ation' in 'federation' differ in meaning from '-ation' in 'mutation'?,2
SUFFIX,-ative,tending to / relating to,talkative,tending to talk a great deal,How does '-ative' in 'creative' express a tendency?,4
SUFFIX,-ator,one who / that which does,generator,a machine that generates power,How does '-ator' in 'mediator' describe a role?,4
SUFFIX,-atory,relating to / place for,observatory,a place for observing stars,How does '-atory' in 'laboratory' and 'oratory' specify function?,5
SUFFIX,-cle / -ule,small (diminutive),particle,a very small piece or amount,How does '-cle' in 'article' and '-ule' in 'capsule' convey smallness?,5
SUFFIX,-ed (adjective),having / characterized by,bearded,having a beard,How does '-ed' in 'talented' form a different meaning from the past tense '-ed'?,2
SUFFIX,-eer,one who works with / one engaged in,engineer,one who designs or builds engines,How does '-eer' in 'volunteer' and 'pioneer' indicate a role?,5
SUFFIX,-elle,small (French diminutive),organelle,a small organ within a cell,How does '-elle' in 'platelet' relate to the diminutive suffix?,6
SUFFIX,-en (verb),to make / become,frighten,to make afraid,How does '-en' in 'strengthen' create a causative verb?,3
SUFFIX,-en (adjective),made of / resembling,golden,made of or resembling gold,How does '-en' in 'wooden' indicate material?,3
SUFFIX,-ence / -ency,state / quality / degree,fluency,the quality of speaking smoothly,How does '-ence' in 'preference' describe a state versus '-ency' in 'efficiency'?,3
SUFFIX,-eous / -ious,having the nature of,courageous,having or showing courage,How does '-eous' in 'gorgeous' differ from '-ious' in 'glorious'?,4
SUFFIX,-er (comparative),more (adjective),faster,moving at a greater speed,How does comparative '-er' in 'smarter' differ from agent '-er' in 'teacher'?,2
SUFFIX,-escence,process of becoming / state,adolescence,the process of becoming an adult,How does '-escence' in 'luminescence' describe a gradual process?,6
SUFFIX,-escent,becoming / slightly,adolescent,becoming an adult; a young person,How does '-escent' in 'fluorescent' describe an ongoing state?,6
SUFFIX,-ese,language / people / style of,Japanese,"relating to Japan, its people or language",How does '-ese' in 'journalese' create a dismissive register?,4
SUFFIX,-eur / -euse,one who (French agent),chauffeur,a person employed to drive a car,How does '-eur' differ from '-er' and '-or' in its origin?,6
SUFFIX,-ferous,bearing / producing / containing,coniferous,"bearing cones, as in pine trees",How does '-ferous' in 'somniferous' describe what it produces?,6
SUFFIX,-fic,making / causing / producing,horrific,causing horror,How does '-fic' in 'pacific' and 'specific' reflect its Latin origin?,5
SUFFIX,-fy / -ify,to make / to cause to become,glorify,to make glorious,How does '-ify' in 'magnify' describe transformation?,3
SUFFIX,-gram,something written or drawn,telegram,a message sent by telegraph,How does '-gram' in 'electrocardiogram' describe the output?,3
SUFFIX,-graph,instrument that writes / something written,photograph,an image captured by light,How does '-graph' in 'seismograph' describe the recording device?,4
SUFFIX,-graphy,process of recording / writing,biography,the written story of someone's life,How does '-graphy' in 'cinematography' describe the technique?,3
SUFFIX,-hedron,a solid geometric figure with faces,tetrahedron,a four-faced geometric solid,How does '-hedron' in 'polyhedron' specify its three-dimensional nature?,6
SUFFIX,-ible,capable of / worthy of,flexible,capable of bending easily,How does '-ible' in 'audible' describe a capability?,3
SUFFIX,-ician,a specialist in,physician,a doctor who specializes in medicine,How does '-ician' in 'mathematician' denote expertise?,4
SUFFIX,-ics,study / science / practice of,linguistics,the scientific study of language,How does '-ics' in 'athletics' and 'robotics' describe fields of practice?,3
SUFFIX,-id,having the nature of / resembling,fluid,having the nature of flowing freely,How does '-id' in 'humid' and 'torrid' describe a quality?,5
SUFFIX,-ify,to make / cause to be,terrify,to cause to feel terror,How does '-ify' in 'simplify' describe transformation?,3
SUFFIX,-ile,capable of / relating to,mobile,capable of moving,How does '-ile' in 'agile' and 'fertile' indicate capability?,4
SUFFIX,-ine,relating to / chemical compound,marine,relating to the sea,How does '-ine' in 'adrenaline' and 'crystalline' differ in usage?,4
SUFFIX,-ious,full of / having,infectious,full of infection; causing disease,How does '-ious' in 'ambitious' describe a quality?,3
SUFFIX,-ism (movement),movement / doctrine / practice,capitalism,economic system based on private ownership,How does '-ism' in 'nationalism' describe a movement?,3
SUFFIX,-istic,relating to a practice or doctrine,realistic,relating to realism,How does '-istic' in 'optimistic' combine '-ist' and '-ic'?,4
SUFFIX,-ite,a follower / a mineral / an inhabitant,granite,a hard crystalline rock,How does '-ite' in 'Israelite' and 'graphite' function differently?,5
SUFFIX,-itude,state / quality of,gratitude,the state of being thankful,How does '-itude' in 'magnitude' and 'fortitude' create abstract nouns?,5
SUFFIX,-ity,state / quality / condition of,clarity,the state of being clear,How does '-ity' in 'electricity' and 'ability' create abstract nouns from adjectives?,2
SUFFIX,-ium,chemical element / tissue / place,calcium,a chemical element essential for bones,How does '-ium' in 'auditorium' differ from its use in 'uranium'?,5
SUFFIX,-let,small / unimportant,droplet,a very small drop,How does '-let' in 'booklet' and 'piglet' function as a diminutive?,4
SUFFIX,-like,resembling / characteristic of,childlike,resembling or having the qualities of a child,How does '-like' in 'lifelike' differ from '-ly' in 'lively'?,3
SUFFIX,-ling,small / young / one associated with,duckling,a young duck,How does '-ling' in 'sapling' and 'underling' indicate status?,4
SUFFIX,-ly (adverb),in a manner of,quickly,in a quick manner,How does '-ly' in 'nearly' and 'kindly' form adverbs from adjectives?,1
SUFFIX,-ly (adjective),having the quality of (time),weekly,occurring once a week,How does '-ly' in 'friendly' create an adjective from a noun?,2
SUFFIX,-man / -woman / -person,one who does / one of a group,craftsman,a skilled maker of goods by hand,How does '-man' in 'spokesman' compare to '-person' in 'chairperson'?,3
SUFFIX,-meter / -metry,measurement / instrument,thermometer,an instrument for measuring temperature,How does '-meter' in 'barometer' describe both the device and the measurement?,4
SUFFIX,-morph / -morphic,having a form / shape,endomorph,a body type characterized by roundness,How does '-morph' in 'polymorphic' describe variation in form?,6
SUFFIX,-nomy / -onomy,system of laws / management,astronomy,the study of the laws governing celestial bodies,How does '-nomy' in 'economy' and 'agronomy' describe management systems?,5
SUFFIX,-on,particle / unit,electron,a subatomic particle with a negative charge,How does '-on' in 'neutron' and 'photon' identify fundamental particles?,5
SUFFIX,-onym / -onymy,name / word,synonym,a word with the same meaning as another,How does '-onym' in 'pseudonym' and 'antonym' specify types of names?,5
SUFFIX,-opia / -opsia,condition of vision,myopia,nearsightedness,How does '-opia' in 'hyperopia' specify the visual condition?,6
SUFFIX,-or (agent),one who / that which,conductor,one who conducts or leads,How does '-or' in 'prosecutor' describe an agent?,3
SUFFIX,-ory (adjective),tending to / serving to,preparatory,tending to prepare,How does '-ory' in 'contradictory' describe tendency?,5
SUFFIX,-phage / -phagy,one that eats / eating of,bacteriophage,a virus that eats bacteria,How does '-phage' in 'macrophage' describe its function?,6
SUFFIX,-phile / -philia,one who loves / love of,bibliophile,a lover of books,How does '-philia' in 'hemophilia' differ from '-phile' in meaning?,5
SUFFIX,-phobe / -phobia,one who fears / fear of,claustrophobe,a person who fears enclosed spaces,How does '-phobia' in 'agoraphobia' specify the object of fear?,4
SUFFIX,-phone,sound / voice / instrument,microphone,an instrument that amplifies sound,How does '-phone' in 'saxophone' and 'francophone' differ in meaning?,4
SUFFIX,-scope / -scopy,instrument for viewing / examination,microscope,an instrument for viewing tiny objects,How does '-scope' in 'telescope' and '-scopy' in 'endoscopy' differ?,4
SUFFIX,-sect,to cut,dissect,to cut apart for examination,How does '-sect' in 'bisect' describe a cutting action?,5
SUFFIX,-sis / -sia,action / process / condition,thesis,a proposition put forward for argument,How does '-sis' in 'analysis' and 'synthesis' describe processes?,5
SUFFIX,-some (adjective),characterized by / like,handsome,pleasant in appearance,How does '-some' in 'awesome' and 'troublesome' describe character?,4
SUFFIX,-some (noun),body / unit,chromosome,a thread-like body carrying genetic material,How does '-some' in 'ribosome' describe a cellular unit?,6
SUFFIX,-sphere,ball / globe / domain,atmosphere,the layer of gases surrounding Earth,How does '-sphere' in 'biosphere' and 'hemisphere' describe enclosed domains?,4
SUFFIX,-ster,one who is / one that does,youngster,a young person,How does '-ster' in 'trickster' and 'gangster' denote a type of person?,4
SUFFIX,-tomy / -otomy,surgical cutting / incision,lobotomy,a surgical incision into the frontal lobe,How does '-tomy' in 'appendectomy' differ from its use in '-otomy'?,5
SUFFIX,-tude,state / quality of,solitude,the state of being alone,How does '-tude' in 'aptitude' and 'attitude' form abstract nouns?,5
SUFFIX,-ty,state / quality,loyalty,the quality of being loyal,How does '-ty' in 'royalty' and 'penalty' form abstract nouns?,3
SUFFIX,-ular,of / relating to / resembling,circular,relating to a circle,How does '-ular' in 'molecular' and 'vascular' specify relation?,5
SUFFIX,-ule,small (diminutive),capsule,a small enclosed container,How does '-ule' in 'globule' and 'molecule' indicate small size?,5
SUFFIX,-us,noun ending (Latin),radius,the shorter bone of the forearm,How does '-us' in 'nucleus' and 'status' indicate Latin noun origin?,5
SUFFIX,-ward / -wards,in the direction of,homeward,in the direction of home,How does '-ward' in 'inward' and 'upward' specify direction?,3
SUFFIX,-y (adjective),full of / tending to,cloudy,full of clouds,How does '-y' in 'muddy' and 'tricky' form adjectives?,2
SUFFIX,-yer / -ier,one who (agent),lawyer,one who practices law,How does '-yer' in 'lawyer' relate to '-er' as an agent suffix?,4
ROOT,acer / acr (Latin),sharp / sour,acrimony,bitterness or ill feeling,How does 'acr-' in 'acrobat' relate to the idea of sharpness at height?,5
ROOT,acqu (Latin),to get / to acquire,acquire,to come into possession of something,How does 'acqu-' in 'acquaint' describe gaining knowledge?,5
ROOT,acu (Latin),sharp / needle / pointed,acute,having a sharp angle; severe,How does 'acu-' in 'acupuncture' reflect its original meaning?,5
ROOT,age / ag (Latin),to do / to act / to drive,agent,one who acts on behalf of another,How does 'ag-' in 'agenda' describe a list of things to be done?,4
ROOT,agog (Greek),leader / bringing forth,demagogue,a leader who appeals to popular desires,How does '-agog' in 'pedagogue' and 'synagogue' describe leading?,7
ROOT,alg (Greek),pain,neuralgia,nerve pain,How does 'alg-' in 'analgesic' relate to the relief of pain?,6
ROOT,ali (Latin),other / another,alias,another name used by a person,How does 'ali-' in 'alienate' describe the process of making something other?,5
ROOT,all (Greek),other / different,allergy,altered reaction to a foreign substance,How does 'all-' in 'allophone' describe a different sound variant?,5
ROOT,ambul (Latin),to walk,ambulance,a vehicle for walking or transporting the injured,How does 'ambul-' in 'ambulatory' describe a type of patient?,5
ROOT,ampl (Latin),large / ample / spacious,amplify,to make larger or louder,How does 'ampl-' in 'amplitude' describe the size of a wave?,5
ROOT,anat (Greek),cutting up / anatomy,anatomize,to dissect or analyze in detail,How does 'anat-' in 'anatomy' reflect its original dissection meaning?,5
ROOT,ang (Latin),to choke / to distress,angina,chest pain caused by reduced blood flow,How does 'ang-' in 'anguish' describe emotional distress?,6
ROOT,angul (Latin),angle / corner,angular,having angles or sharp corners,How does 'angul-' in 'triangle' describe its geometric property?,4
ROOT,apt (Latin),fit / suitable,aptitude,a natural ability or tendency,How does 'apt-' in 'adapt' describe fitting to a new condition?,4
ROOT,arbit (Latin),to judge / witness,arbitrary,based on personal judgment rather than reason,How does 'arbit-' in 'arbitrate' describe a judgment role?,5
ROOT,arm (Latin),weapon / tool / army,armament,military weapons and equipment,How does 'arm-' in 'alarm' historically relate to a call to weapons?,4
ROOT,art (Latin),skill / art / craft,artisan,a skilled craftsperson,How does 'art-' in 'artificial' describe something made by human skill?,4
ROOT,asthen (Greek),weakness,neurasthenia,a condition of nervous weakness,How does 'asthen-' in 'myasthenia' describe muscle weakness?,7
ROOT,astr (Greek),star,astronomy,the scientific study of stars,How does 'astr-' in 'asteroid' describe a star-like object?,3
ROOT,atmo (Greek),vapor / air,atmosphere,the layer of air surrounding Earth,How does 'atmo-' in 'atmosphere' describe the composition of air?,5
ROOT,audi (Latin),to hear,auditorium,a large room for hearing performances,How does 'audi-' in 'audience' and 'audible' reflect hearing?,3
ROOT,ball (Greek),to throw,ballistic,relating to projectiles in motion,How does 'ball-' in 'ballistic' relate to the root 'bol-' in 'symbol'?,5
ROOT,bar (Greek),weight / pressure,isobar,a line on a map of equal pressure,How does 'bar-' in 'barometer' relate to measuring atmospheric pressure?,5
ROOT,belli (Latin),war,belligerent,hostile and aggressive; engaged in war,How does 'belli-' in 'antebellum' describe a period before war?,5
ROOT,ben (Latin),good / well,benevolent,having a wish to do good,How does 'ben-' in 'benefit' describe a positive outcome?,4
ROOT,bibli (Greek),book,bibliophile,a lover of books,How does 'bibli-' in 'bibliography' describe a list of books?,5
ROOT,brev (Latin),short / brief,abbreviation,a shortened form of a word or phrase,How does 'brev-' in 'brevity' describe the quality of shortness?,5
